BR 30 		[ 0.95  0.  ]
BR 60 		[ 0.9625  0.    ]
BR 90 		[ 0.93333333  0.        ]
BR 120 		[ 0.94375  0.     ]
BR 150 		[ 0.955  0.005]
BR 180 		[ 0.95416667  0.00833333]
BR 210 		[ 0.94285714  0.00714286]
BR 240 		[ 0.934375  0.00625 ]
BR 270 		[ 0.93333333  0.00555556]
BR 300 		[ 0.9375  0.005 ]
BR 330 		[ 0.93181818  0.00454545]
BR 360 		[ 0.93333333  0.00416667]
BR 390 		[ 0.93076923  0.00384615]
BR 420 		[ 0.93392857  0.00357143]
BR 450 		[ 0.93333333  0.00333333]
BR 480 		[ 0.9359375  0.0046875]
BR 510 		[ 0.93823529  0.00441176]
BR 540 		[ 0.93611111  0.00416667]
BR 570 		[ 0.93684211  0.00394737]
BH 30 		[ 0.55  0.1 ]
BH 60 		[ 0.6     0.1125]
BH 90 		[ 0.58333333  0.13333333]
BH 120 		[ 0.5875  0.125 ]
BH 150 		[ 0.585  0.14 ]
BH 180 		[ 0.58333333  0.14583333]
BH 210 		[ 0.59642857  0.15357143]
BH 240 		[ 0.603125  0.15625 ]
BH 270 		[ 0.59166667  0.16111111]
BH 300 		[ 0.5875  0.1675]
BH 330 		[ 0.58409091  0.16363636]
BH 360 		[ 0.58125     0.16041667]
BH 390 		[ 0.57307692  0.15961538]
BH 420 		[ 0.57857143  0.1625    ]
BH 450 		[ 0.57        0.16666667]
BH 480 		[ 0.571875  0.165625]
BH 510 		[ 0.56764706  0.16617647]
BH 540 		[ 0.56527778  0.16388889]
BH 570 		[ 0.56973684  0.16578947]
SH 30 		[ 0.65   0.075]
SH 60 		[ 0.6375  0.1   ]
SH 90 		[ 0.65        0.11666667]
SH 120 		[ 0.65    0.1125]
SH 150 		[ 0.635  0.12 ]
SH 180 		[ 0.62916667  0.10416667]
SH 210 		[ 0.63214286  0.11071429]
SH 240 		[ 0.63125  0.11875]
SH 270 		[ 0.63055556  0.10833333]
SH 300 		[ 0.6275  0.1025]
SH 330 		[ 0.63409091  0.10454545]
O 30 		[ 0.65  0.05]
O 60 		[ 0.5625  0.0625]
O 90 		[ 0.55833333  0.06666667]
O 120 		[ 0.55   0.075]
O 150 		[ 0.565  0.085]
O 180 		[ 0.5625      0.10416667]
O 210 		[ 0.56071429  0.10714286]
O 240 		[ 0.559375  0.115625]
O 270 		[ 0.56944444  0.12777778]
O 300 		[ 0.5725  0.125 ]
P 30 		[ 0.75   0.075]
P 60 		[ 0.7625  0.05  ]
P 90 		[ 0.75        0.04166667]
P 120 		[ 0.76875  0.0375 ]
P 150 		[ 0.775  0.035]
P 180 		[ 0.7625  0.0375]
P 210 		[ 0.76428571  0.04642857]
P 240 		[ 0.7625    0.046875]
P 270 		[ 0.76666667  0.04444444]
P 300 		[ 0.77  0.05]
P 330 		[ 0.775       0.05227273]
P 360 		[ 0.77708333  0.06041667]
P 390 		[ 0.77884615  0.05961538]
P 420 		[ 0.775       0.06071429]
P 450 		[ 0.77  0.06]
P 480 		[ 0.771875  0.0625  ]
P 510 		[ 0.77205882  0.06470588]
P 540 		[ 0.76944444  0.06388889]
P 570 		[ 0.775       0.06447368]
