BR 30 		[ 1.  0.]
BR 60 		[ 0.9625  0.0125]
BR 90 		[ 0.96666667  0.00833333]
BR 120 		[ 0.9625  0.0125]
BR 150 		[ 0.95   0.015]
BR 180 		[ 0.95416667  0.01666667]
BR 210 		[ 0.95357143  0.01428571]
BR 240 		[ 0.95625  0.0125 ]
BR 270 		[ 0.96111111  0.01111111]
BR 300 		[ 0.96   0.015]
BR 330 		[ 0.95681818  0.01363636]
BR 360 		[ 0.95833333  0.0125    ]
BR 390 		[ 0.95961538  0.01153846]
BR 420 		[ 0.9625      0.01071429]
BR 450 		[ 0.965  0.01 ]
BR 480 		[ 0.9640625  0.009375 ]
BR 510 		[ 0.96470588  0.00882353]
BR 540 		[ 0.96388889  0.00972222]
BR 570 		[ 0.96578947  0.00921053]
BH 30 		[ 0.575  0.275]
BH 60 		[ 0.6125  0.2   ]
BH 90 		[ 0.63333333  0.2       ]
BH 120 		[ 0.65625  0.2125 ]
BH 150 		[ 0.66  0.19]
BH 180 		[ 0.65    0.1875]
BH 210 		[ 0.65        0.19285714]
BH 240 		[ 0.64375   0.184375]
BH 270 		[ 0.64722222  0.18333333]
BH 300 		[ 0.6425  0.19  ]
BH 330 		[ 0.63863636  0.18863636]
BH 360 		[ 0.63958333  0.19166667]
BH 390 		[ 0.64038462  0.19423077]
BH 420 		[ 0.63571429  0.18928571]
BH 450 		[ 0.62833333  0.19      ]
BH 480 		[ 0.61875  0.1875 ]
BH 510 		[ 0.62058824  0.19117647]
BH 540 		[ 0.61388889  0.19444444]
BH 570 		[ 0.60921053  0.18947368]
SH 30 		[ 0.65   0.075]
SH 60 		[ 0.6875  0.0375]
SH 90 		[ 0.68333333  0.05      ]
SH 120 		[ 0.6875   0.06875]
SH 150 		[ 0.68   0.085]
SH 180 		[ 0.68333333  0.075     ]
SH 210 		[ 0.69642857  0.075     ]
SH 240 		[ 0.68125  0.075  ]
SH 270 		[ 0.66666667  0.07777778]
SH 300 		[ 0.66   0.075]
SH 330 		[ 0.66136364  0.075     ]
SH 360 		[ 0.66041667  0.07708333]
SH 390 		[ 0.63269231  0.08461538]
SH 420 		[ 0.61428571  0.08928571]
SH 450 		[ 0.59833333  0.095     ]
SH 480 		[ 0.5828125  0.0921875]
SH 510 		[ 0.57647059  0.09264706]
SH 540 		[ 0.56666667  0.09444444]
SH 570 		[ 0.56052632  0.1       ]
O 30 		[ 0.825  0.125]
O 60 		[ 0.7375  0.15  ]
O 90 		[ 0.71666667  0.15833333]
O 120 		[ 0.70625  0.1375 ]
O 150 		[ 0.695  0.13 ]
O 180 		[ 0.7125      0.12916667]
O 210 		[ 0.70714286  0.13214286]
O 240 		[ 0.70625   0.140625]
O 270 		[ 0.71666667  0.13888889]
O 300 		[ 0.7225  0.1475]
O 330 		[ 0.70681818  0.15      ]
O 360 		[ 0.6875  0.15  ]
O 390 		[ 0.66538462  0.14615385]
O 420 		[ 0.65178571  0.15      ]
O 450 		[ 0.635       0.15333333]
O 480 		[ 0.6203125  0.1515625]
O 510 		[ 0.61323529  0.15588235]
O 540 		[ 0.60277778  0.16111111]
O 570 		[ 0.59868421  0.15657895]
P 30 		[ 0.85   0.075]
P 60 		[ 0.8375  0.0625]
P 90 		[ 0.825       0.08333333]
P 120 		[ 0.8  0.1]
P 150 		[ 0.805  0.1  ]
P 180 		[ 0.79583333  0.08333333]
P 210 		[ 0.81785714  0.07857143]
P 240 		[ 0.81875  0.075  ]
P 270 		[ 0.82222222  0.07222222]
P 300 		[ 0.8325  0.065 ]
P 330 		[ 0.82954545  0.07045455]
P 360 		[ 0.82291667  0.07291667]
P 390 		[ 0.81538462  0.07307692]
P 420 		[ 0.81428571  0.07321429]
P 450 		[ 0.81666667  0.075     ]
P 480 		[ 0.81875    0.0765625]
P 510 		[ 0.81764706  0.07352941]
P 540 		[ 0.81527778  0.07222222]
P 570 		[ 0.81315789  0.07105263]
