BR 30 		[ 1.    0.75]
BR 60 		[ 1.    0.75]
BR 90 		[ 1.    0.75]
BR 120 		[ 0.98125  0.75   ]
BR 150 		[ 0.985  0.75 ]
BR 180 		[ 0.9875  0.75  ]
BR 210 		[ 0.98928571  0.75      ]
BR 240 		[ 0.990625  0.75    ]
BR 270 		[ 0.99166667  0.75      ]
BR 300 		[ 0.9925  0.75  ]
BR 330 		[ 0.99318182  0.75      ]
BR 360 		[ 0.99375  0.75   ]
BR 390 		[ 0.99423077  0.75      ]
BR 420 		[ 0.99464286  0.75      ]
BR 450 		[ 0.99333333  0.75      ]
BR 480 		[ 0.99375  0.75   ]
BR 510 		[ 0.99411765  0.75      ]
BR 540 		[ 0.99444444  0.75      ]
BR 570 		[ 0.99473684  0.75      ]
BR 600 		[ 0.995  0.75 ]
BR 630 		[ 0.9952381  0.75     ]
BR 660 		[ 0.99545455  0.75      ]
BR 690 		[ 0.99565217  0.75      ]
BR 720 		[ 0.99583333  0.75      ]
BR 750 		[ 0.996  0.75 ]
BR 780 		[ 0.99615385  0.75      ]
BR 810 		[ 0.9962963  0.75     ]
BR 840 		[ 0.99642857  0.75      ]
BR 870 		[ 0.99655172  0.75      ]
BH 30 		[ 0.25  0.  ]
BH 60 		[ 0.25  0.  ]
BH 90 		[ 0.25  0.  ]
BH 120 		[ 0.25  0.  ]
BH 150 		[ 0.25  0.  ]
BH 180 		[ 0.25  0.  ]
BH 210 		[ 0.25  0.  ]
BH 240 		[ 0.25  0.  ]
BH 270 		[ 0.25  0.  ]
BH 300 		[ 0.25  0.  ]
BH 330 		[ 0.24772727  0.        ]
BH 360 		[ 0.24791667  0.        ]
BH 390 		[ 0.24807692  0.        ]
BH 420 		[ 0.24821429  0.        ]
BH 450 		[ 0.24833333  0.        ]
BH 480 		[ 0.2484375  0.       ]
BH 510 		[ 0.24852941  0.        ]
BH 540 		[ 0.24861111  0.        ]
BH 570 		[ 0.24868421  0.        ]
SH 30 		[ 0.25  0.  ]
SH 60 		[ 0.25  0.  ]
SH 90 		[ 0.25  0.  ]
SH 120 		[ 0.25  0.  ]
SH 150 		[ 0.25  0.  ]
SH 180 		[ 0.25  0.  ]
SH 210 		[ 0.25  0.  ]
SH 240 		[ 0.25  0.  ]
SH 270 		[ 0.25  0.  ]
SH 300 		[ 0.25  0.  ]
SH 330 		[ 0.25  0.  ]
SH 360 		[ 0.25  0.  ]
SH 390 		[ 0.24807692  0.        ]
SH 420 		[ 0.24821429  0.        ]
SH 450 		[ 0.24833333  0.        ]
SH 480 		[ 0.2484375  0.       ]
SH 510 		[ 0.24852941  0.        ]
SH 540 		[ 0.24861111  0.        ]
SH 570 		[ 0.24868421  0.        ]
O 30 		[ 1.    0.75]
O 60 		[ 0.9875  0.75  ]
O 90 		[ 0.99166667  0.75      ]
O 120 		[ 0.99375  0.75   ]
O 150 		[ 0.995  0.75 ]
O 180 		[ 0.99583333  0.75      ]
O 210 		[ 0.99642857  0.75      ]
O 240 		[ 0.996875  0.75    ]
O 270 		[ 0.99444444  0.75      ]
O 300 		[ 0.995  0.75 ]
O 330 		[ 0.99545455  0.75      ]
O 360 		[ 0.99583333  0.75      ]
O 390 		[ 0.99615385  0.75      ]
O 420 		[ 0.99642857  0.75      ]
O 450 		[ 0.99666667  0.75      ]
O 480 		[ 0.996875  0.75    ]
O 510 		[ 0.99705882  0.75      ]
O 540 		[ 0.99722222  0.75      ]
O 570 		[ 0.99605263  0.75      ]
P 30 		[ 0.75  0.5 ]
P 60 		[ 0.75  0.5 ]
P 90 		[ 0.75  0.5 ]
P 120 		[ 0.75  0.5 ]
P 150 		[ 0.75  0.5 ]
P 180 		[ 0.75  0.5 ]
P 210 		[ 0.75  0.5 ]
P 240 		[ 0.75  0.5 ]
P 270 		[ 0.75  0.5 ]
P 300 		[ 0.75  0.5 ]
P 330 		[ 0.75  0.5 ]
P 360 		[ 0.75  0.5 ]
P 390 		[ 0.75  0.5 ]
P 420 		[ 0.75  0.5 ]
P 450 		[ 0.75  0.5 ]
P 480 		[ 0.75  0.5 ]
P 510 		[ 0.75  0.5 ]
P 540 		[ 0.75  0.5 ]
P 570 		[ 0.75  0.5 ]
P 600 		[ 0.75  0.5 ]
P 630 		[ 0.75  0.5 ]
P 660 		[ 0.75  0.5 ]
P 690 		[ 0.75  0.5 ]
P 720 		[ 0.75  0.5 ]
P 750 		[ 0.75  0.5 ]
P 780 		[ 0.75  0.5 ]
P 810 		[ 0.75  0.5 ]
P 840 		[ 0.75  0.5 ]
P 870 		[ 0.75  0.5 ]
