BR 30 		[ 0.8  0. ]
BR 60 		[ 0.8    0.025]
BR 90 		[ 0.8         0.01666667]
BR 120 		[ 0.81875  0.0125 ]
BR 150 		[ 0.82  0.01]
BR 180 		[ 0.82083333  0.00833333]
BR 210 		[ 0.81428571  0.01428571]
BR 240 		[ 0.8125  0.0125]
BR 270 		[ 0.81666667  0.01666667]
BR 300 		[ 0.82   0.015]
BR 330 		[ 0.82045455  0.01590909]
BR 360 		[ 0.8125      0.01458333]
BR 390 		[ 0.81538462  0.01730769]
BR 420 		[ 0.8125      0.02142857]
BR 450 		[ 0.82  0.02]
BR 480 		[ 0.8125    0.021875]
BR 510 		[ 0.81323529  0.02205882]
BR 540 		[ 0.81666667  0.02083333]
BR 570 		[ 0.81973684  0.01973684]
BH 30 		[ 0.625  0.2  ]
BH 60 		[ 0.6125  0.1875]
BH 90 		[ 0.55        0.18333333]
BH 120 		[ 0.525   0.1875]
BH 150 		[ 0.555  0.18 ]
BH 180 		[ 0.5625  0.1875]
BH 210 		[ 0.53928571  0.18214286]
BH 240 		[ 0.546875  0.165625]
BH 270 		[ 0.55833333  0.16666667]
BH 300 		[ 0.5575  0.175 ]
BH 330 		[ 0.57045455  0.17272727]
BH 360 		[ 0.56875  0.175  ]
BH 390 		[ 0.57307692  0.18269231]
BH 420 		[ 0.56964286  0.18035714]
BH 450 		[ 0.575       0.18166667]
BH 480 		[ 0.58125    0.1828125]
BH 510 		[ 0.57794118  0.17794118]
BH 540 		[ 0.58055556  0.17916667]
BH 570 		[ 0.58421053  0.17894737]
SH 30 		[ 0.375  0.2  ]
SH 60 		[ 0.3     0.1875]
SH 90 		[ 0.30833333  0.20833333]
SH 120 		[ 0.31875  0.20625]
SH 150 		[ 0.33  0.22]
SH 180 		[ 0.33333333  0.225     ]
SH 210 		[ 0.35        0.22142857]
SH 240 		[ 0.359375  0.2125  ]
SH 270 		[ 0.36944444  0.21111111]
SH 300 		[ 0.365   0.2175]
SH 330 		[ 0.37272727  0.22272727]
SH 360 		[ 0.37291667  0.225     ]
SH 390 		[ 0.37115385  0.23269231]
SH 420 		[ 0.37142857  0.2375    ]
SH 450 		[ 0.36666667  0.23666667]
SH 480 		[ 0.36875    0.2390625]
SH 510 		[ 0.36911765  0.23676471]
SH 540 		[ 0.36527778  0.23472222]
SH 570 		[ 0.36842105  0.23815789]
O 30 		[ 0.625  0.25 ]
O 60 		[ 0.7     0.2625]
O 90 		[ 0.70833333  0.23333333]
O 120 		[ 0.7125   0.23125]
O 150 		[ 0.725  0.21 ]
O 180 		[ 0.72083333  0.2125    ]
O 210 		[ 0.73214286  0.19285714]
O 240 		[ 0.7375    0.203125]
O 270 		[ 0.73611111  0.21388889]
O 300 		[ 0.73    0.2175]
O 330 		[ 0.72727273  0.21363636]
O 360 		[ 0.725       0.20833333]
O 390 		[ 0.72884615  0.21538462]
O 420 		[ 0.73571429  0.21964286]
O 450 		[ 0.73166667  0.22166667]
O 480 		[ 0.7296875  0.225    ]
O 510 		[ 0.71764706  0.23235294]
O 540 		[ 0.71944444  0.23055556]
O 570 		[ 0.71973684  0.23684211]
P 30 		[ 0.7  0.2]
P 60 		[ 0.725  0.225]
P 90 		[ 0.74166667  0.225     ]
P 120 		[ 0.7375  0.2125]
P 150 		[ 0.745  0.215]
P 180 		[ 0.725   0.2125]
P 210 		[ 0.71785714  0.21428571]
P 240 		[ 0.7125    0.215625]
P 270 		[ 0.70555556  0.21944444]
P 300 		[ 0.715  0.21 ]
P 330 		[ 0.71590909  0.21818182]
P 360 		[ 0.72083333  0.22083333]
P 390 		[ 0.72884615  0.22692308]
P 420 		[ 0.73214286  0.23392857]
P 450 		[ 0.73   0.235]
P 480 		[ 0.7265625  0.23125  ]
P 510 		[ 0.73529412  0.23382353]
P 540 		[ 0.72916667  0.23611111]
P 570 		[ 0.725       0.24605263]
