BR 30 		[ 0.875  0.025]
BR 60 		[ 0.8875  0.05  ]
BR 90 		[ 0.86666667  0.03333333]
BR 120 		[ 0.86875  0.025  ]
BR 150 		[ 0.88   0.025]
BR 180 		[ 0.8625      0.02083333]
BR 210 		[ 0.84642857  0.02142857]
BR 240 		[ 0.853125  0.01875 ]
BR 270 		[ 0.85555556  0.02222222]
BR 300 		[ 0.86    0.0225]
BR 330 		[ 0.86136364  0.02045455]
BR 360 		[ 0.86666667  0.02291667]
BR 390 		[ 0.86538462  0.02115385]
BR 420 		[ 0.86428571  0.01964286]
BR 450 		[ 0.86333333  0.02      ]
BR 480 		[ 0.8625     0.0203125]
BR 510 		[ 0.86323529  0.02058824]
BR 540 		[ 0.86111111  0.02222222]
BR 570 		[ 0.85921053  0.02236842]
BR 600 		[ 0.80666667  0.03      ]
BR 630 		[ 0.8031746   0.02857143]
BR 660 		[ 0.8030303   0.02727273]
BR 690 		[ 0.79855072  0.02608696]
BR 720 		[ 0.79861111  0.02638889]
BR 750 		[ 0.80133333  0.02666667]
BR 780 		[ 0.79871795  0.02820513]
BR 810 		[ 0.79506173  0.02962963]
BR 840 		[ 0.79404762  0.0297619 ]
BR 870 		[ 0.79195402  0.02988506]
BR 900 		[ 0.79555556  0.02888889]
BR 930 		[ 0.79462366  0.02795699]
BR 960 		[ 0.79375   0.028125]
BR 990 		[ 0.79393939  0.03030303]
BR 1020 		[ 0.79411765  0.02941176]
BR 1050 		[ 0.79333333  0.02952381]
BR 1080 		[ 0.79166667  0.03148148]
BR 1110 		[ 0.79099099  0.03243243]
BR 1140 		[ 0.79210526  0.03245614]
BR 1170 		[ 0.78888889  0.03418803]
BH 30 		[ 0.575  0.15 ]
BH 60 		[ 0.55    0.1625]
BH 90 		[ 0.575       0.19166667]
BH 120 		[ 0.60625  0.175  ]
BH 150 		[ 0.59   0.185]
BH 180 		[ 0.575   0.1875]
BH 210 		[ 0.58214286  0.18214286]
BH 240 		[ 0.590625  0.171875]
BH 270 		[ 0.58888889  0.16944444]
BH 300 		[ 0.5875  0.18  ]
BH 330 		[ 0.58636364  0.18636364]
BH 360 		[ 0.59791667  0.175     ]
BH 390 		[ 0.6         0.16730769]
BH 420 		[ 0.61071429  0.16785714]
BH 450 		[ 0.60666667  0.16666667]
BH 480 		[ 0.6125     0.1671875]
BH 510 		[ 0.60882353  0.17205882]
BH 540 		[ 0.61111111  0.16666667]
BH 570 		[ 0.60657895  0.16447368]
BH 600 		[ 0.71        0.11833333]
BH 630 		[ 0.70952381  0.12063492]
BH 660 		[ 0.71212121  0.11969697]
BH 690 		[ 0.7057971   0.12173913]
BH 720 		[ 0.7    0.125]
BH 750 		[ 0.70266667  0.12533333]
BH 780 		[ 0.7         0.12820513]
BH 810 		[ 0.70246914  0.12839506]
BH 840 		[ 0.7047619  0.1297619]
BH 870 		[ 0.70574713  0.12873563]
BH 900 		[ 0.70666667  0.12555556]
BH 930 		[ 0.70322581  0.12150538]
BH 960 		[ 0.703125    0.11979167]
BH 990 		[ 0.7020202   0.12424242]
BH 1020 		[ 0.70784314  0.12156863]
BH 1050 		[ 0.71428571  0.12380952]
BH 1080 		[ 0.71666667  0.12314815]
BH 1110 		[ 0.71711712  0.12072072]
BH 1140 		[ 0.71140351  0.12280702]
BH 1170 		[ 0.70940171  0.12307692]
SH 30 		[ 0.6    0.125]
SH 60 		[ 0.6375  0.1375]
SH 90 		[ 0.64166667  0.13333333]
SH 120 		[ 0.63125  0.1375 ]
SH 150 		[ 0.63  0.15]
SH 180 		[ 0.6125  0.15  ]
SH 210 		[ 0.61428571  0.14285714]
SH 240 		[ 0.6125  0.1375]
SH 270 		[ 0.61388889  0.13888889]
SH 300 		[ 0.625   0.1425]
SH 330 		[ 0.62272727  0.14318182]
SH 360 		[ 0.62291667  0.14166667]
SH 390 		[ 0.61730769  0.13461538]
SH 420 		[ 0.61964286  0.1375    ]
SH 450 		[ 0.62        0.13833333]
SH 480 		[ 0.61875    0.1390625]
SH 510 		[ 0.61911765  0.13529412]
SH 540 		[ 0.61666667  0.13472222]
SH 570 		[ 0.61447368  0.13157895]
SH 600 		[ 0.64166667  0.135     ]
SH 630 		[ 0.63968254  0.13333333]
SH 660 		[ 0.64242424  0.13333333]
SH 690 		[ 0.64347826  0.13333333]
SH 720 		[ 0.64166667  0.12916667]
SH 750 		[ 0.644       0.13066667]
SH 780 		[ 0.64230769  0.12692308]
SH 810 		[ 0.64320988  0.13209877]
SH 840 		[ 0.64404762  0.12857143]
SH 870 		[ 0.64252874  0.13103448]
SH 900 		[ 0.64111111  0.13      ]
SH 930 		[ 0.63978495  0.1311828 ]
SH 960 		[ 0.4625   0.06875]
SH 990 		[ 0.46363636  0.07121212]
SH 1020 		[ 0.46029412  0.07058824]
SH 1050 		[ 0.45714286  0.07      ]
SH 1080 		[ 0.45555556  0.07083333]
SH 1110 		[ 0.45405405  0.07162162]
SH 1140 		[ 0.45526316  0.07236842]
SH 1170 		[ 0.4525641   0.07179487]
O 30 		[ 0.425  0.15 ]
O 60 		[ 0.5   0.15]
O 90 		[ 0.45        0.18333333]
O 120 		[ 0.49375  0.175  ]
O 150 		[ 0.49   0.185]
O 180 		[ 0.50833333  0.2       ]
O 210 		[ 0.50714286  0.19285714]
O 240 		[ 0.5125    0.184375]
O 270 		[ 0.52777778  0.18333333]
O 300 		[ 0.535   0.1725]
O 330 		[ 0.53863636  0.17272727]
O 360 		[ 0.54166667  0.175     ]
O 390 		[ 0.53653846  0.17307692]
O 420 		[ 0.52857143  0.17321429]
O 450 		[ 0.51833333  0.175     ]
O 480 		[ 0.5140625  0.1734375]
O 510 		[ 0.51470588  0.16911765]
O 540 		[ 0.51111111  0.16944444]
O 570 		[ 0.51315789  0.16973684]
O 600 		[ 0.52    0.1025]
O 630 		[ 0.51428571  0.10238095]
O 660 		[ 0.51590909  0.10227273]
O 690 		[ 0.51521739  0.09782609]
O 720 		[ 0.51041667  0.09791667]
O 750 		[ 0.516  0.098]
O 780 		[ 0.51346154  0.09615385]
O 810 		[ 0.51111111  0.0962963 ]
O 840 		[ 0.50535714  0.09642857]
O 870 		[ 0.50344828  0.09482759]
O 900 		[ 0.5         0.09666667]
O 930 		[ 0.68064516  0.08387097]
O 960 		[ 0.671875  0.084375]
O 990 		[ 0.66969697  0.08484848]
O 1020 		[ 0.66470588  0.08529412]
O 1050 		[ 0.66285714  0.08571429]
O 1080 		[ 0.66666667  0.08611111]
O 1110 		[ 0.67027027  0.08918919]
O 1140 		[ 0.66842105  0.08684211]
O 1170 		[ 0.66923077  0.08974359]
P 30 		[ 0.675  0.05 ]
P 60 		[ 0.7125  0.025 ]
P 90 		[ 0.725       0.04166667]
P 120 		[ 0.74375  0.04375]
P 150 		[ 0.73  0.05]
P 180 		[ 0.725       0.05416667]
P 210 		[ 0.725       0.05714286]
P 240 		[ 0.71875  0.05   ]
P 270 		[ 0.70555556  0.05      ]
P 300 		[ 0.7075  0.0475]
P 330 		[ 0.7         0.05454545]
P 360 		[ 0.69583333  0.06041667]
P 390 		[ 0.69230769  0.06346154]
P 420 		[ 0.7         0.06428571]
P 450 		[ 0.695       0.06333333]
P 480 		[ 0.6984375  0.0640625]
P 510 		[ 0.7         0.06176471]
P 540 		[ 0.7         0.05972222]
P 570 		[ 0.7         0.05921053]
P 600 		[ 0.61833333  0.055     ]
P 630 		[ 0.62380952  0.05238095]
P 660 		[ 0.62272727  0.05454545]
P 690 		[ 0.62898551  0.05362319]
P 720 		[ 0.63194444  0.05138889]
P 750 		[ 0.63333333  0.04933333]
P 780 		[ 0.63205128  0.05      ]
P 810 		[ 0.6308642   0.04814815]
P 840 		[ 0.62738095  0.04880952]
P 870 		[ 0.62988506  0.04942529]
