BR 30 		[ 0.875  0.   ]
BR 60 		[ 0.875  0.025]
BR 90 		[ 0.85833333  0.05      ]
BR 120 		[ 0.8625  0.0375]
BR 150 		[ 0.855  0.035]
BR 180 		[ 0.85        0.02916667]
BR 210 		[ 0.86071429  0.025     ]
BR 240 		[ 0.85      0.021875]
BR 270 		[ 0.85277778  0.02222222]
BR 300 		[ 0.85    0.0225]
BR 330 		[ 0.85227273  0.02272727]
BR 360 		[ 0.85208333  0.025     ]
BR 390 		[ 0.84423077  0.02307692]
BR 420 		[ 0.83928571  0.02142857]
BR 450 		[ 0.83        0.02166667]
BR 480 		[ 0.83125   0.021875]
BR 510 		[ 0.83676471  0.02058824]
BR 540 		[ 0.83888889  0.02083333]
BR 570 		[ 0.84078947  0.02105263]
BR 600 		[ 0.84375  0.02375]
BR 630 		[ 0.84404762  0.02380952]
BR 660 		[ 0.84431818  0.025     ]
BR 690 		[ 0.84347826  0.02391304]
BR 720 		[ 0.84583333  0.028125  ]
BR 750 		[ 0.845  0.028]
BR 780 		[ 0.84326923  0.02884615]
BR 810 		[ 0.8462963  0.0287037]
BR 840 		[ 0.84553571  0.02857143]
BR 870 		[ 0.84137931  0.03017241]
BH 30 		[ 0.675  0.1  ]
BH 60 		[ 0.65    0.1125]
BH 90 		[ 0.625       0.13333333]
BH 120 		[ 0.5875  0.15  ]
BH 150 		[ 0.595  0.165]
BH 180 		[ 0.6         0.15833333]
BH 210 		[ 0.6   0.15]
BH 240 		[ 0.584375  0.134375]
BH 270 		[ 0.60555556  0.15555556]
BH 300 		[ 0.6075  0.155 ]
BH 330 		[ 0.60909091  0.14545455]
BH 360 		[ 0.61458333  0.14166667]
BH 390 		[ 0.61538462  0.15192308]
BH 420 		[ 0.62142857  0.15535714]
BH 450 		[ 0.62        0.15666667]
BH 480 		[ 0.621875   0.1578125]
BH 510 		[ 0.61911765  0.15441176]
BH 540 		[ 0.62361111  0.15694444]
BH 570 		[ 0.62894737  0.15394737]
SH 30 		[ 0.675  0.125]
SH 60 		[ 0.5875  0.125 ]
SH 90 		[ 0.59166667  0.13333333]
SH 120 		[ 0.5875  0.125 ]
SH 150 		[ 0.59   0.115]
SH 180 		[ 0.5875      0.11666667]
SH 210 		[ 0.58928571  0.11785714]
SH 240 		[ 0.5875   0.11875]
SH 270 		[ 0.58888889  0.11944444]
SH 300 		[ 0.5975  0.115 ]
SH 330 		[ 0.59318182  0.11136364]
SH 360 		[ 0.59375     0.11041667]
SH 390 		[ 0.59807692  0.10769231]
SH 420 		[ 0.59285714  0.1125    ]
SH 450 		[ 0.59166667  0.11333333]
SH 480 		[ 0.5890625  0.1109375]
SH 510 		[ 0.59117647  0.11176471]
SH 540 		[ 0.59583333  0.11527778]
SH 570 		[ 0.60131579  0.11578947]
O 30 		[ 0.475  0.175]
O 60 		[ 0.475   0.1625]
O 90 		[ 0.525       0.15833333]
O 120 		[ 0.5625  0.1375]
O 150 		[ 0.57  0.15]
O 180 		[ 0.56666667  0.14583333]
O 210 		[ 0.56071429  0.15357143]
O 240 		[ 0.55    0.1625]
O 270 		[ 0.53333333  0.16111111]
O 300 		[ 0.535  0.175]
O 330 		[ 0.52727273  0.17954545]
O 360 		[ 0.52291667  0.18541667]
O 390 		[ 0.51346154  0.18653846]
O 420 		[ 0.52142857  0.18928571]
O 450 		[ 0.525       0.19166667]
O 480 		[ 0.5234375  0.1875   ]
O 510 		[ 0.52352941  0.18529412]
O 540 		[ 0.51944444  0.17916667]
O 570 		[ 0.52368421  0.17894737]
P 30 		[ 0.65   0.125]
P 60 		[ 0.6625  0.125 ]
P 90 		[ 0.69166667  0.10833333]
P 120 		[ 0.7125  0.1   ]
P 150 		[ 0.7   0.08]
P 180 		[ 0.71666667  0.075     ]
P 210 		[ 0.72142857  0.075     ]
P 240 		[ 0.71875   0.071875]
P 270 		[ 0.71944444  0.06666667]
P 300 		[ 0.72    0.0675]
P 330 		[ 0.71818182  0.06590909]
P 360 		[ 0.72083333  0.07291667]
P 390 		[ 0.71538462  0.07307692]
P 420 		[ 0.71964286  0.07142857]
P 450 		[ 0.72        0.06833333]
P 480 		[ 0.71875    0.0765625]
P 510 		[ 0.71323529  0.07647059]
P 540 		[ 0.70972222  0.07638889]
P 570 		[ 0.71052632  0.07631579]
